User_ID,Platform,Country,Age,Gender,Post_Type,Engagements,Misinformation_Spread
User_93,Facebook,China,47,Female,Image,19,1
User_94,Facebook,China,53,Male,Video,403,1
User_95,Facebook,China,49,Female,Text,13,1
User_96,Facebook,China,33,Female,Text,485,1
User_97,Facebook,China,44,Female,Mixed,187,1
User_98,Facebook,China,50,Male,Video,436,1
User_99,Facebook,China,20,Female,Mixed,339,0
User_100,Facebook,China,46,Male,Video,311,0
User_101,Facebook,China,52,Male,Image,273,0
User_102,Facebook,China,27,Male,Image,124,0
User_103,Facebook,China,21,Female,Image,84,1
User_104,Facebook,China,53,Male,Text,258,1
User_105,Facebook,China,54,Female,Mixed,236,1
User_106,Facebook,China,65,Male,Text,496,1
User_107,Facebook,China,40,Other,Text,277,0
User_108,Facebook,China,30,Female,Video,370,0
User_109,Facebook,China,37,Female,Image,406,1
User_110,Facebook,China,53,Male,Text,412,0
User_111,Facebook,China,24,Other,Video,393,0
User_112,Facebook,China,64,Male,Text,108,1
User_113,Facebook,China,38,Female,Video,153,1
User_114,Facebook,China,62,Other,Image,432,1
User_115,Facebook,China,22,Female,Text,244,1
User_116,Facebook,China,64,Male,Image,451,1
User_117,Facebook,China,55,Male,Text,177,0
User_118,Facebook,China,44,Female,Text,38,0
User_119,Facebook,China,36,Female,Text,330,1
User_120,Facebook,China,34,Other,Text,310,1
User_121,Facebook,China,23,Female,Video,454,0
User_122,Facebook,China,56,Male,Image,28,0
User_123,Facebook,China,20,Male,Image,229,1
User_124,Facebook,China,37,Male,Text,392,1
User_125,Facebook,China,18,Female,Mixed,199,0
User_126,Facebook,China,42,Female,Image,126,1
User_127,Facebook,China,61,Other,Text,326,0
User_128,Facebook,China,33,Female,Video,261,0
User_129,Facebook,China,52,Female,Text,411,0
User_130,Facebook,China,31,Male,Text,382,1
User_131,Facebook,China,20,Other,Text,468,0
User_132,Facebook,China,49,Male,Image,469,0
User_133,Facebook,China,25,Male,Mixed,99,0
User_134,Facebook,China,45,Male,Text,237,1
User_135,Facebook,China,34,Male,Text,221,1
User_136,Facebook,China,65,Male,Image,44,1
User_137,Facebook,China,35,Male,Text,312,1
User_138,Facebook,China,27,Other,Image,260,0
User_139,Facebook,China,50,Female,Image,233,1
User_140,Facebook,China,28,Female,Video,226,1
User_141,Facebook,China,44,Female,Text,107,0
User_142,Facebook,China,18,Male,Video,15,1
User_143,Facebook,China,22,Other,Image,268,1
User_144,Facebook,China,54,Female,Image,467,0
User_145,Facebook,China,38,Male,Image,10,1
User_146,Facebook,China,30,Male,Text,378,1
User_147,Facebook,China,51,Male,Mixed,48,1
User_148,Facebook,China,51,Male,Video,388,0
User_149,Facebook,China,18,Female,Text,487,1
User_150,Facebook,China,34,Male,Video,416,1
User_151,Facebook,China,38,Female,Video,444,1
User_152,Facebook,China,51,Male,Image,347,0
User_153,Facebook,China,44,Male,Image,317,1
User_154,Facebook,China,50,Female,Mixed,39,1
User_155,Facebook,China,34,Other,Mixed,147,1
User_156,Facebook,China,27,Female,Mixed,481,0
User_157,Facebook,China,23,Male,Text,135,1
User_158,Facebook,China,65,Male,Video,258,0
User_159,Facebook,China,33,Male,Image,409,1
User_160,Facebook,China,57,Female,Text,204,1
User_161,Facebook,China,44,Female,Image,70,0
User_162,Facebook,China,36,Female,Image,101,0
User_163,Facebook,China,39,Male,Text,142,0
User_164,Facebook,China,43,Female,Text,87,0
User_165,Facebook,China,44,Male,Text,56,1
User_166,Facebook,China,64,Female,Video,328,0
User_167,Facebook,China,34,Male,Text,17,1
User_168,Facebook,China,32,Female,Mixed,223,0
User_169,Facebook,China,45,Male,Mixed,395,1
User_170,Facebook,China,31,Male,Video,16,1
User_171,Facebook,China,40,Female,Video,283,0
User_172,Facebook,China,52,Male,Mixed,482,1
User_173,Facebook,China,45,Male,Text,282,0
User_174,Facebook,China,43,Female,Text,154,0
User_175,Facebook,China,42,Female,Video,242,0
User_176,Facebook,China,64,Female,Image,43,1
User_177,Facebook,China,57,Male,Video,51,0
User_178,Facebook,China,23,Female,Mixed,235,0
User_179,Facebook,China,62,Male,Text,298,0
User_180,Facebook,China,38,Male,Video,121,0
User_181,Facebook,China,28,Male,Image,104,0
User_182,Facebook,China,26,Male,Video,40,0
User_183,Facebook,China,53,Other,Image,331,1
User_184,Facebook,China,28,Female,Image,127,0
User_185,Facebook,China,55,Female,Text,203,1
User_186,Facebook,China,25,Male,Text,309,0
User_187,Facebook,China,43,Male,Video,221,1
User_188,Facebook,China,29,Male,Image,151,0
User_189,Facebook,China,54,Female,Video,365,0
User_190,Facebook,China,20,Male,Image,19,1
User_191,Facebook,China,27,Other,Text,177,1
User_192,Facebook,China,18,Male,Text,282,0
User_193,Facebook,China,32,Male,Video,428,0
User_194,Facebook,China,22,Female,Mixed,443,0
User_195,Facebook,China,28,Other,Mixed,492,0
User_196,Facebook,China,57,Female,Mixed,329,1
User_197,Facebook,China,28,Female,Image,325,0
User_198,Facebook,China,38,Male,Video,388,1
User_199,Facebook,China,21,Male,Image,98,1
User_200,Facebook,China,25,Male,Image,297,0
User_201,Facebook,China,55,Female,Video,152,1
User_202,Facebook,China,34,Female,Video,459,1
User_203,Facebook,China,57,Male,Video,444,0
User_204,Facebook,China,20,Female,Mixed,51,0
User_205,Facebook,China,32,Female,Text,487,1
User_206,Facebook,China,53,Other,Text,106,1
User_207,Facebook,China,44,Female,Image,205,1
User_208,Facebook,China,27,Male,Image,362,0
User_209,Facebook,China,30,Male,Mixed,374,0
User_210,Facebook,China,32,Female,Text,166,0
User_211,Facebook,China,29,Female,Video,104,1
User_212,Facebook,China,53,Female,Video,292,0
User_213,Facebook,China,28,Other,Mixed,47,0
User_214,Facebook,China,40,Male,Image,372,0
User_215,Facebook,China,30,Male,Image,482,0
User_216,Facebook,China,57,Female,Mixed,365,1
User_217,Facebook,China,22,Other,Mixed,136,0
User_218,Facebook,China,45,Male,Text,60,1
User_219,Facebook,China,57,Female,Video,416,0
User_220,Facebook,China,54,Other,Image,429,0
User_221,Facebook,China,18,Female,Video,380,1
User_222,Facebook,China,38,Male,Text,146,0
User_223,Facebook,China,43,Male,Video,253,1
User_224,Facebook,China,28,Other,Video,219,0
User_225,Facebook,China,44,Male,Video,452,0
User_226,Facebook,China,41,Female,Mixed,207,0
User_227,Facebook,China,50,Male,Video,159,0
User_228,Facebook,China,38,Female,Text,93,0
User_229,Facebook,China,37,Male,Mixed,72,1
User_230,Facebook,China,24,Female,Text,487,1
User_231,Facebook,China,36,Male,Image,294,1
User_232,Facebook,China,46,Male,Mixed,28,0
User_233,Facebook,China,31,Female,Image,203,1
User_234,Facebook,China,47,Female,Video,141,0
User_235,Facebook,China,46,Male,Video,297,0
User_236,Facebook,China,36,Female,Mixed,490,0
User_237,Facebook,China,45,Female,Video,358,0
User_238,Facebook,China,20,Male,Video,264,0
User_239,Facebook,China,64,Female,Video,106,1
User_240,Facebook,China,25,Male,Mixed,97,1
User_241,Facebook,China,63,Female,Mixed,174,0
User_242,Facebook,China,31,Male,Mixed,475,0
User_243,Facebook,China,24,Female,Text,156,0
User_244,Facebook,China,36,Female,Mixed,91,1
User_245,Facebook,China,64,Female,Video,243,1
User_246,Facebook,China,20,Female,Mixed,29,1
User_247,Facebook,China,55,Female,Text,235,1
User_248,Facebook,China,52,Other,Image,373,0
User_249,Facebook,China,27,Female,Video,224,1
User_250,Facebook,China,34,Male,Text,23,1
User_251,Facebook,China,19,Female,Video,210,0
User_252,Facebook,China,60,Male,Image,451,1
User_253,Facebook,China,51,Male,Video,335,1
User_254,Facebook,China,38,Female,Text,431,0
User_255,Facebook,China,54,Female,Image,85,0
User_256,Facebook,China,59,Male,Video,322,0
User_257,Facebook,China,44,Female,Mixed,246,1
User_258,Facebook,China,24,Female,Text,419,0
User_259,Facebook,China,63,Male,Mixed,319,1
User_260,Facebook,China,53,Female,Text,158,1
User_261,Facebook,China,28,Male,Text,196,0
User_262,Facebook,China,52,Other,Video,120,1
User_263,Facebook,China,39,Female,Text,259,0
User_264,Facebook,China,37,Male,Mixed,346,0
User_265,Facebook,China,62,Male,Text,163,0
User_266,Facebook,China,26,Male,Text,138,0
User_267,Facebook,China,60,Female,Text,48,0
User_268,Facebook,China,54,Male,Video,487,0
User_269,Facebook,China,29,Male,Mixed,452,1
User_270,Facebook,China,34,Other,Video,312,0
User_271,Facebook,China,33,Female,Mixed,488,1
User_272,Facebook,China,40,Female,Mixed,207,1
User_273,Facebook,China,35,Male,Video,68,1
User_274,Facebook,China,62,Female,Mixed,275,1
User_275,Facebook,China,34,Male,Text,95,1
User_276,Facebook,China,31,Male,Video,146,0
User_277,Facebook,China,25,Other,Video,486,0
User_278,Facebook,China,47,Male,Video,411,1
User_279,Facebook,China,56,Male,Video,161,0
User_280,Facebook,China,62,Male,Text,180,0
User_281,Facebook,China,40,Male,Video,385,1
User_282,Facebook,China,46,Female,Text,219,1
User_283,Facebook,China,62,Female,Image,459,0
User_284,Facebook,China,59,Other,Video,256,0
User_285,Facebook,China,35,Other,Video,388,1
User_286,Facebook,China,46,Female,Text,327,0
User_287,Facebook,China,33,Female,Video,386,1
User_288,Facebook,China,42,Male,Mixed,398,1
User_289,Facebook,China,20,Male,Mixed,167,1
User_290,Facebook,China,35,Male,Text,441,0
User_291,Facebook,China,63,Male,Video,314,0
User_292,Facebook,China,21,Male,Image,302,1
User_293,Facebook,China,60,Female,Video,449,1
User_294,Facebook,China,41,Male,Text,235,0
User_295,Facebook,China,21,Male,Mixed,358,1
User_296,Facebook,China,62,Male,Video,235,0
User_297,Facebook,China,58,Male,Video,385,0
User_298,Facebook,China,22,Female,Video,186,1
User_299,Facebook,China,37,Other,Text,388,0
User_300,Facebook,China,35,Female,Mixed,12,1
User_301,Facebook,China,55,Female,Text,98,1
User_302,Facebook,China,31,Female,Video,114,0
User_303,Facebook,China,45,Male,Video,418,1
User_304,Facebook,China,59,Female,Mixed,34,1
User_305,Facebook,China,51,Male,Video,47,0
User_306,Facebook,China,22,Male,Image,463,1
User_307,Facebook,China,65,Female,Text,470,1
User_308,Facebook,China,57,Female,Image,358,1
User_309,Facebook,China,20,Male,Image,49,1
User_310,Facebook,China,62,Female,Mixed,156,1
User_311,Facebook,China,45,Female,Video,313,1
User_312,Facebook,China,60,Male,Text,179,0
User_313,Facebook,China,44,Female,Video,142,1
User_314,Facebook,China,48,Female,Image,169,0
User_315,Facebook,China,47,Other,Image,365,1
User_316,Facebook,China,30,Female,Video,459,0
User_317,Facebook,China,63,Male,Text,26,0
User_318,Facebook,China,51,Female,Mixed,374,1
User_319,Facebook,China,23,Male,Video,83,0
User_320,Facebook,China,51,Male,Mixed,344,1
User_321,Facebook,China,46,Female,Mixed,361,1
User_322,Facebook,China,21,Male,Text,21,0
User_323,Facebook,China,27,Male,Image,483,0
User_324,Facebook,China,35,Female,Mixed,184,1
User_325,Facebook,China,53,Female,Mixed,390,0
User_326,Facebook,China,46,Male,Image,376,0
User_327,Facebook,China,28,Female,Image,491,0
User_328,Facebook,China,46,Other,Video,406,1
User_329,Facebook,China,32,Female,Text,84,0
User_330,Facebook,China,19,Female,Mixed,31,0
User_331,Facebook,China,20,Other,Mixed,449,0
User_332,Facebook,China,38,Other,Text,452,1
User_333,Facebook,China,36,Male,Video,266,0
User_334,Facebook,China,55,Male,Text,172,0
User_335,Facebook,China,42,Female,Image,280,0
User_336,Facebook,China,44,Other,Image,482,1
User_337,Facebook,China,25,Female,Image,59,1
User_338,Facebook,China,20,Female,Mixed,190,1
User_339,Facebook,China,20,Male,Video,162,0
User_340,Facebook,China,24,Male,Mixed,349,0
User_341,Facebook,China,55,Male,Mixed,328,1
User_342,Facebook,China,19,Female,Video,73,0
User_343,Facebook,China,25,Male,Image,329,0
User_344,Facebook,China,64,Female,Mixed,20,1
User_345,Facebook,China,50,Other,Text,401,1
User_346,Facebook,China,41,Male,Mixed,386,1
User_347,Facebook,China,32,Male,Image,101,1
User_348,Facebook,China,27,Female,Image,362,1
User_349,Facebook,China,50,Female,Image,426,1
User_350,Facebook,China,43,Male,Image,175,1
User_351,Facebook,China,63,Female,Video,491,0
User_352,Facebook,China,61,Male,Video,326,1
User_353,Facebook,China,23,Female,Text,368,1
User_354,Facebook,China,58,Female,Mixed,337,1
User_355,Facebook,China,37,Male,Video,392,0
User_356,Facebook,China,37,Female,Image,323,1
User_357,Facebook,China,20,Male,Mixed,371,0
User_358,Facebook,China,35,Male,Video,21,0
User_359,Facebook,China,62,Female,Video,64,0
User_360,Facebook,China,62,Male,Video,318,1
User_361,Facebook,China,61,Female,Image,220,0
User_362,Facebook,China,49,Female,Video,140,0
User_363,Facebook,China,52,Male,Image,456,0
User_364,Facebook,China,24,Male,Image,222,1
User_365,Facebook,China,41,Male,Mixed,229,0
User_366,Facebook,China,37,Female,Image,186,1
User_367,Facebook,China,58,Male,Text,363,0
User_368,Facebook,China,19,Female,Mixed,271,1
User_369,Facebook,China,29,Male,Image,49,1
User_370,Facebook,China,50,Male,Mixed,109,1
User_371,Facebook,China,40,Female,Image,343,1
User_372,Facebook,China,54,Female,Text,50,0
User_373,Facebook,China,64,Female,Video,482,1
User_374,Facebook,China,56,Male,Video,354,1
User_375,Facebook,China,19,Female,Text,458,1
User_376,Facebook,China,53,Other,Video,296,0
User_377,Facebook,China,20,Male,Mixed,467,0
User_378,Facebook,China,29,Female,Text,142,0
User_379,Facebook,China,60,Other,Text,73,0
User_380,Facebook,China,45,Male,Text,184,1
User_381,Facebook,China,54,Female,Mixed,53,0
User_382,Facebook,China,64,Female,Mixed,260,0
User_383,Facebook,China,31,Male,Video,302,1
User_384,Facebook,China,46,Female,Video,207,0
User_385,Facebook,China,22,Male,Video,215,1
User_386,Facebook,China,37,Other,Mixed,260,0
User_387,Facebook,China,51,Male,Text,194,1
User_388,Facebook,China,64,Female,Video,437,1
User_389,Facebook,China,40,Male,Text,317,1
User_390,Facebook,China,59,Female,Mixed,350,0
User_391,Facebook,China,25,Male,Image,14,1
User_392,Facebook,China,64,Female,Video,128,1
User_393,Facebook,China,27,Male,Image,154,1
User_394,Facebook,China,64,Female,Mixed,484,1
User_395,Facebook,China,63,Other,Text,156,1
User_396,Facebook,China,31,Male,Text,370,0
User_397,Facebook,China,45,Male,Mixed,463,0
User_398,Facebook,China,50,Male,Mixed,278,1
User_399,Facebook,China,30,Male,Video,333,1
User_400,Facebook,China,55,Male,Image,28,1
User_401,Facebook,China,35,Female,Video,348,1
User_402,Facebook,China,18,Male,Image,464,0
User_403,Facebook,China,32,Female,Image,208,1
User_404,Facebook,China,36,Male,Text,426,0
User_405,Facebook,China,52,Male,Image,276,1
User_406,Facebook,China,63,Female,Image,439,1
User_407,Facebook,China,38,Female,Mixed,459,0
User_408,Facebook,China,46,Male,Mixed,142,0
User_409,Facebook,China,54,Male,Mixed,280,0
User_410,Facebook,China,40,Female,Image,373,1
User_411,Facebook,China,62,Female,Video,345,1
User_412,Facebook,China,32,Male,Video,60,0
User_413,Facebook,China,38,Male,Video,299,0
User_414,Facebook,China,21,Male,Mixed,36,1
User_415,Facebook,China,45,Female,Mixed,115,1
User_416,Facebook,China,35,Male,Text,141,1
User_417,Facebook,China,47,Male,Video,117,0
User_418,Facebook,China,30,Male,Video,321,1
User_419,Facebook,China,59,Other,Mixed,461,0
User_420,Facebook,China,18,Male,Text,371,0
User_421,Facebook,China,30,Female,Image,286,1
User_422,Facebook,China,26,Female,Video,19,0
User_423,Facebook,China,59,Other,Mixed,58,0
User_424,Facebook,China,54,Male,Mixed,28,1
User_425,Facebook,China,56,Female,Image,412,1
User_426,Facebook,China,50,Male,Text,184,0
User_427,Facebook,China,61,Female,Video,158,0
User_428,Facebook,China,65,Male,Video,485,0
User_429,Facebook,China,28,Male,Image,86,1
User_430,Facebook,China,42,Other,Video,272,1
User_431,Facebook,China,20,Male,Text,176,1
User_432,Facebook,China,28,Other,Mixed,311,0
User_433,Facebook,China,43,Male,Mixed,176,1
User_434,Facebook,China,53,Male,Text,173,0
User_435,Facebook,China,25,Male,Image,434,1
User_436,Facebook,China,30,Female,Image,453,1
User_437,Facebook,China,44,Female,Mixed,239,1
User_438,Facebook,China,20,Female,Text,67,0
User_439,Facebook,China,23,Male,Mixed,267,0
User_440,Facebook,China,52,Female,Image,125,0
User_441,Facebook,China,61,Male,Text,342,1
User_442,Facebook,China,64,Male,Mixed,115,0
User_443,Facebook,China,33,Male,Mixed,405,1
User_444,Facebook,China,20,Other,Text,288,0
User_445,Facebook,China,57,Male,Mixed,369,1
User_446,Facebook,China,18,Female,Text,93,1
User_447,Facebook,China,35,Female,Mixed,170,1
User_448,Facebook,China,29,Female,Image,151,0
User_449,Facebook,China,40,Male,Image,370,0
User_450,Facebook,China,44,Male,Text,340,1
User_451,Facebook,China,40,Other,Image,320,0
User_452,Facebook,China,39,Male,Image,325,1
User_453,Facebook,China,59,Female,Text,51,1
User_454,Facebook,China,62,Male,Mixed,499,1
User_455,Facebook,China,23,Male,Video,445,1
User_456,Facebook,China,32,Male,Image,356,1
User_457,Facebook,China,35,Other,Image,265,1
User_458,Facebook,China,19,Male,Image,298,1
User_459,Facebook,China,31,Male,Mixed,319,1
User_460,Facebook,China,20,Other,Image,34,1
User_461,Facebook,China,51,Male,Image,461,0
User_462,Facebook,China,21,Male,Mixed,297,0
User_463,Facebook,China,45,Male,Image,29,0
User_464,Facebook,China,23,Male,Video,263,1
User_465,Facebook,China,40,Male,Video,14,1
User_466,Facebook,China,27,Male,Image,276,1
User_467,Facebook,China,48,Female,Text,480,0
User_468,Facebook,China,52,Male,Mixed,199,0
User_469,Facebook,China,24,Female,Mixed,106,1
User_470,Facebook,China,56,Male,Text,368,0
User_471,Facebook,China,46,Female,Mixed,431,0
User_472,Facebook,China,54,Female,Image,265,0
User_473,Facebook,China,24,Female,Image,23,0
User_474,Facebook,China,39,Other,Video,395,0
User_475,Facebook,China,38,Male,Video,158,1
User_476,Facebook,China,56,Female,Text,222,1
User_477,Facebook,China,62,Other,Image,494,1
User_478,Facebook,China,53,Male,Text,197,1
User_479,Facebook,China,38,Female,Video,126,0
User_480,Facebook,China,21,Female,Mixed,261,1
User_481,Facebook,China,52,Male,Mixed,422,0
User_482,Facebook,China,38,Other,Text,114,0
User_483,Facebook,China,26,Other,Image,69,0
User_484,Facebook,China,50,Female,Image,453,1
User_485,Facebook,China,45,Female,Image,273,1
User_486,Facebook,China,25,Male,Text,453,0
User_487,Facebook,China,62,Male,Mixed,437,1
User_488,Facebook,China,54,Male,Mixed,96,1
User_489,Facebook,China,62,Female,Video,161,0
User_490,Facebook,China,37,Female,Image,424,0
User_491,Facebook,China,28,Other,Video,400,1
User_492,Facebook,China,60,Male,Text,359,1
User_493,Facebook,China,25,Male,Image,120,0
User_494,Facebook,China,45,Female,Mixed,265,0
User_495,Facebook,China,26,Male,Image,460,0
User_496,Facebook,China,21,Female,Text,226,1
User_497,Facebook,China,27,Female,Mixed,356,1
User_498,Facebook,China,30,Female,Video,409,1
User_499,Facebook,China,51,Male,Video,282,1
User_500,Facebook,China,26,Male,Video,343,0
User_501,Facebook,China,42,Male,Mixed,423,1
User_502,Facebook,China,61,Male,Image,122,1
User_503,Facebook,China,52,Female,Image,128,1
User_504,Facebook,China,29,Other,Image,158,1
User_505,Facebook,China,38,Other,Image,369,1
User_506,Facebook,China,40,Female,Video,265,1
User_507,Facebook,China,60,Male,Mixed,294,1
User_508,Facebook,China,19,Male,Video,445,1
User_509,Facebook,China,48,Male,Video,97,0
User_510,Facebook,China,39,Female,Text,362,1
User_511,Facebook,China,36,Male,Image,304,1
User_512,Facebook,China,42,Female,Video,145,0
User_513,Facebook,China,33,Female,Mixed,270,1
User_514,Facebook,China,21,Male,Mixed,329,1
User_515,Facebook,China,60,Male,Text,393,1
User_516,Facebook,China,44,Male,Text,121,1
User_517,Facebook,China,53,Male,Image,323,0
User_518,Facebook,China,34,Male,Text,427,1
User_519,Facebook,China,37,Male,Video,232,0
User_520,Facebook,China,36,Other,Mixed,120,0
User_521,Facebook,China,37,Female,Image,236,0
User_522,Facebook,China,55,Male,Mixed,368,0
User_523,Facebook,China,55,Male,Mixed,66,0
User_524,Facebook,China,34,Female,Mixed,230,1
User_525,Facebook,China,41,Male,Image,64,1
User_526,Facebook,China,41,Female,Image,412,0
User_527,Facebook,China,36,Male,Image,220,0
User_528,Facebook,China,62,Female,Image,495,0
User_529,Facebook,China,53,Female,Mixed,182,0
User_530,Facebook,China,50,Male,Mixed,122,1
User_531,Facebook,China,64,Other,Mixed,127,1
User_532,Facebook,China,34,Female,Mixed,249,0
User_533,Facebook,China,32,Male,Image,133,0
User_534,Facebook,China,26,Other,Text,70,1
User_535,Facebook,China,20,Male,Text,359,1
User_536,Facebook,China,62,Female,Video,374,1
User_537,Facebook,China,36,Male,Image,419,1
User_538,Facebook,China,46,Male,Mixed,58,0
User_539,Facebook,China,22,Female,Image,269,0
User_540,Facebook,China,56,Male,Text,289,1
User_541,Facebook,China,23,Male,Image,325,0
User_542,Facebook,China,48,Other,Text,45,0
User_543,Facebook,China,41,Male,Image,351,0
User_544,Facebook,China,52,Male,Image,129,1
User_545,Facebook,China,33,Female,Image,226,1
User_546,Facebook,China,61,Male,Mixed,193,0
User_547,Facebook,China,35,Other,Text,30,1
User_548,Facebook,China,50,Female,Image,136,0
User_549,Facebook,China,49,Female,Mixed,481,1
User_550,Facebook,China,24,Male,Image,385,0
User_551,Facebook,China,54,Other,Image,78,1
User_552,Facebook,China,43,Male,Text,412,0
User_553,Facebook,China,38,Female,Text,454,0
User_554,Facebook,China,21,Male,Text,336,1
User_555,Facebook,China,50,Female,Text,70,1
User_556,Facebook,China,60,Male,Image,186,1
User_557,Facebook,China,23,Male,Image,74,0
User_558,Facebook,China,22,Other,Mixed,66,1
User_559,Facebook,China,51,Female,Video,134,1
User_560,Facebook,China,29,Male,Mixed,303,1
User_561,Facebook,China,27,Other,Video,328,0
User_562,Facebook,China,49,Male,Mixed,163,0
User_563,Facebook,China,63,Female,Video,385,0
User_564,Facebook,China,32,Female,Mixed,279,0
User_565,Facebook,China,58,Female,Mixed,35,1
User_566,Facebook,China,19,Male,Image,396,1
User_567,Facebook,China,50,Male,Video,271,0
User_568,Facebook,China,40,Female,Image,436,1
User_569,Facebook,China,28,Male,Image,17,0
User_570,Facebook,China,45,Female,Text,94,0
User_571,Facebook,China,26,Male,Mixed,247,1
User_572,Facebook,China,59,Male,Image,277,0
User_573,Facebook,China,33,Female,Video,292,0
User_574,Facebook,China,57,Female,Mixed,138,0
User_575,Facebook,China,25,Female,Mixed,185,0
User_576,Facebook,China,21,Female,Image,255,1
User_577,Facebook,China,26,Female,Image,384,1
User_578,Facebook,China,62,Other,Text,167,1
User_579,Facebook,China,21,Other,Image,232,1
User_580,Facebook,China,44,Female,Video,362,0
User_581,Facebook,China,37,Female,Image,142,1
User_582,Facebook,China,45,Female,Mixed,495,1
User_583,Facebook,China,36,Female,Text,404,1
User_584,Facebook,China,61,Male,Text,225,0
User_585,Facebook,China,20,Female,Image,483,0
User_586,Facebook,China,45,Female,Image,426,0
User_587,Facebook,China,51,Male,Video,347,1
User_588,Facebook,China,40,Female,Image,282,1
User_589,Facebook,China,28,Female,Video,428,0
User_590,Facebook,China,33,Male,Video,433,0
User_591,Facebook,China,64,Male,Text,157,0
User_592,Facebook,China,25,Male,Mixed,200,0
